time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,shortwave_radiation_sum,rain_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration,latitude,longitude,elevation,city,year,month
6/8/23,0.660427204,-0.087492593,0.6663923029983944,0.3503950640322476,0.001649449,0.8352912066770658,0.6479376767808033,-0.572827619,12.9,2.0369064575219173,0.2795815756383061,0.5430932860086691,0.5179417469292931,-0.67046535,-0.284524974,-0.743807318,-0.317548395,Athurugiriya,2023,6
6/9/23,0.7550524513009067,0.011019345,0.865898852,0.5171210439528129,0.1757182432371486,0.7252775177070723,0.6479376767808033,-0.133286808,7.3,1.040482185394108,0.6510750590364974,0.4740179354650365,0.441797141,-0.349486021,-0.284524974,-0.743807318,-0.317548395,Athurugiriya,2023,6
6/10/23,0.660427204,0.2572991902272975,0.8160222147143352,0.7394223505135673,0.1060907257176586,0.9819761253037228,0.8099058950067334,0.2571288543183321,6.4,1.040482185394108,0.8125939648617979,0.7601872448600874,0.5505751493152099,0.043972512,-0.284524974,-0.743807318,-0.317548395,Athurugiriya,2023,6
6/11/23,0.660427204,-0.136748562,0.7661455774756877,0.5171210439528129,0.2801595195163811,1.0919898142737166,0.8908900041196999,-0.96841435,4.9,1.325174834573482,-0.318038376,0.2963956054956941,0.4526749421574595,-0.93967382,-0.284524974,-0.743807318,-0.317548395,Athurugiriya,2023,6
6/12/23,0.7550524513009067,-0.038236624,0.6165156657597468,0.2392444107518714,0.8023659009125488,0.8719624363337295,0.6884297313372866,-0.557314414,18.8,1.7522138083425431,-0.221127032,0.3358672343777706,0.3874081373856261,-0.742944553,-0.284524974,-0.743807318,-0.317548395,Athurugiriya,2023,6
6/13/23,0.7550524513009067,-0.038236624,0.417009117,0.2392444107518714,0.2801595195163811,0.5785925990804138,0.5669535676678382,-0.368570419,17,2.0369064575219173,0.004999436,0.8687342242857965,0.4853083445433763,-0.546215287,-0.284524974,-0.743807318,-0.317548395,Athurugiriya,2023,6
6/14/23,0.660427204,-0.087492593,0.8160222147143352,0.5171210439528129,0.001649449,1.0919898142737166,0.8099058950067334,-0.945144542,7.3,1.4675211591631692,0.1342145603955353,0.5134895643471123,0.4309193405668484,-0.929319648,-0.284524974,-0.743807318,-0.317548395,Athurugiriya,2023,6
6/15/23,0.1873009676962863,0.208043221,1.1152820381462152,0.7394223505135673,0.8023659009125488,1.4220308811836957,1.1743343860150768,-0.707275397,3.2,1.182828509983795,-0.479557282,-0.236471384,0.3656525357950149,-0.72223621,-0.284524974,-0.743807318,-0.317548395,Athurugiriya,2023,6
6/16/23,0.2819262149637231,0.4543230661683237,1.1152820381462152,0.9617236570743196,0.6282971071138262,1.202003503,1.012366167789147,0.1511219527046883,5.6,2.1792527821116043,0.7964420742792676,0.6911118943164541,0.5614529501105154,0.064680856,-0.284524974,-0.743807318,-0.317548395,Athurugiriya,2023,6
6/17/23,0.1873009676962863,0.060275314,1.1152820381462152,0.5171210439528129,0.4194145545553587,1.165332273587045,0.8099058950067334,-0.989098623,5,2.0369064575219173,0.1180626698130056,0.2963956054956941,0.5070639461339875,-0.970736336,-0.284524974,-0.743807318,-0.317548395,Athurugiriya,2023,6
6/8/23,0.1873009676962863,0.8483708180503781,-0.829906814,-0.094207549,0.071276967,-1.181626424,-0.728792178,0.9397098793427696,0.3,-1.094712683,-0.124215689,0.8983379459473533,0.8442757707884606,1.2139939388901635,-0.035882649,1.701581243,2.030752103,Badulla,2023,6
6/9/23,0.1873009676962863,1.143906631961919,-1.029413363,0.016943104,0.1757182432371486,-1.328311343,-0.809776287,1.027618041656523,0.3,-1.094712683,0.1826702321431256,0.7601872448600874,0.7898867668119327,1.5142649244775643,-0.035882649,1.701581243,2.030752103,Badulla,2023,6
6/10/23,0.3765514622311598,1.0946506629766617,-1.328673187,-0.149782876,0.036463208,-1.65835241,-0.890760396,1.061229986070605,1,-1.094712683,-0.059608127,0.8983379459473533,0.8442757707884606,1.3796606895590744,-0.035882649,1.701581243,2.030752103,Badulla,2023,6
6/11/23,0.1873009676962863,0.7991148490651206,-1.378549824,-0.205358202,0.1409044844774036,-1.731694869,-0.931252451,0.8518017170290165,0.4,-0.952366359,-0.366494048,0.1878486260699856,0.8551535715837663,1.1208063916389015,-0.035882649,1.701581243,2.030752103,Badulla,2023,6
6/12/23,0.1873009676962863,0.8976267870356355,-1.278796549,-0.038632222,0.001649449,-1.511667491,-0.728792178,0.6630577214730166,0.2,-0.952366359,-0.124215689,0.2273202549520615,0.8442757707884606,1.0483271882212528,-0.035882649,1.701581243,2.030752103,Badulla,2023,6
6/13/23,0.660427204,1.0453946939914045,-1.129166638,-0.205358202,0.2105320019968911,-1.291640113,-0.850268342,0.2028326364186607,2.1,-0.66767371,-0.011152455,0.5430932860086691,0.8225201691978494,0.6755769992162042,-0.035882649,1.701581243,2.030752103,Badulla,2023,6
6/14/23,0.3765514622311598,0.7991148490651206,-0.73015354,0.1280937574714952,-0.207233103,-1.034941506,-0.647808069,0.3036684696609073,2.6,-0.382981061,0.037303217,0.8292625954037207,0.9204203763555996,0.8619520937187285,-0.035882649,1.701581243,2.030752103,Badulla,2023,6
6/15/23,0.3765514622311598,1.143906631961919,-0.780030177,0.072518431,-0.102791827,-1.364982573,-0.769284233,-1.113204264,2.6,-0.66767371,-0.544164844,-0.552244415,0.8986647747649886,-0.038860863,-0.035882649,1.701581243,2.030752103,Badulla,2023,6
